date,open,close,high,low,volume,amount,log_return,amplitude_pct,volatility_5d,volatility_20d,bias_ratio_20d,guba_avg_sentiment,guba_post_volume,guba_pos_ratio,news_avg_sentiment,news_post_volume,news_pos_ratio
2025/2/18,3348.98,3324.49,3366.01,3314.3,562679240,6.96799E+11,-0.009382853,1.540900462776721,11.294681281175556,12.74764910546589,1.4648584737222057,-0.127854656,3978,0.434640523,0,0,0
2025/2/19,3320.78,3351.54,3352.09,3320.58,502912965,6.75146E+11,0.008103663,0.947814552,11.116573124524736,9.870511765752882,2.1180832315668647,-0.046838508,2673,0.4769921436588103,0,0,0
2025/2/20,3347.59,3350.78,3355.56,3338.03,504357114,6.70099E+11,-0.000226787,0.5230431383781707,10.449831317180346,9.648950991,1.902951973522358,0.019462734,2199,0.5188722146430196,0,0,0
2025/2/21,3356.69,3379.11,3381.06,3339.03,608190206,8.55657E+11,0.008419207,1.2543348115960984,11.597024634116794,9.922644016818468,2.5414211068225985,0.071210806,2889,0.5448251990308065,0,0,0
2025/2/24,3374.08,3373.03,3384.81,3355.87,598188203,8.02847E+11,-0.001800911,0.8564385296720158,11.843751942664198,10.021926221811077,2.1535490774084347,-0.02375896,2175,0.4910344827586207,0,0,0
2025/2/25,3345.65,3346.04,3369.56,3337.84,527578562,7.2751E+11,-0.008033893,0.9404007672626628,11.113315429003308,10.632201707334426,1.1803884754314655,-0.067857501,3021,0.4713670969877524,0,0,0
2025/2/26,3351.21,3380.21,3380.21,3351.21,553992031,7.47887E+11,0.010160281,0.866696154,11.970304872969695,11.025287878773696,2.0014581077672147,0.002114795,2374,0.5075821398483572,0,0,0
2025/2/27,3378.45,3388.06,3388.78,3353.57,575815020,7.7406E+11,0.002319648,1.0416512583537718,11.84747676449657,10.22200053212667,1.969959724385021,-0.0801695,3773,0.4614365226610125,0.8524686098098755,1,1
2025/2/28,3374.66,3320.9,3383.19,3318.72,568319504,7.58055E+11,-0.020021656,1.902858863184249,18.045285697747648,12.946081874684594,-0.187638463,-0.156647026,6359,0.41893379462179586,0,0,0
2025/3/3,3328.4,3316.93,3349.02,3304.59,502417862,6.43981E+11,-0.001196174,1.3378903309343804,18.08569844410126,12.80490834400264,-0.403199896,-0.093776056,3233,0.456232601,0,0,0
2025/3/4,3300.5,3324.21,3327.82,3297.53,429996111,5.68728E+11,0.002192396,0.913193827,17.87464424801865,12.797169952881228,-0.294792637,-0.025103979,2548,0.49293563579277866,0,0,0
2025/3/5,3324.7,3341.96,3342.71,3314.15,460952696,5.87768E+11,0.005325409,0.8591514976490638,16.168291198067006,12.54800224812926,0.068809359,-0.02286917,2581,0.4932196822936846,0,0,0
2025/3/6,3353.57,3381.1,3387.05,3348.68,539992709,7.36438E+11,0.011643639,1.1481286430717406,18.953136944028746,12.434175413255614,1.0736629136095268,0.1551613045916145,2430,0.5868312757201646,0,0,0
2025/3/7,3373.18,3372.55,3390.94,3363.93,517663551,6.87879E+11,-0.002531966,0.7988524444707409,9.013073234204883,12.106759815792367,0.7143821290391313,-0.021274803,3073,0.49332899446794665,0,0,0
2025/3/10,3373.26,3366.16,3375.8,3347.19,450380832,5.95026E+11,-0.001896506,0.8483195208373524,9.23373891,12.024601228072578,0.4575735396704105,-0.003870867,2234,0.5013428827215757,0,0,0
2025/3/11,3335.44,3379.83,3379.83,3334.83,448468323,5.92286E+11,0.004052784,1.3368348503933265,9.232463965,12.060579452124944,0.7726490466666357,0.007441746,3800,0.5089473684210526,0,0,0
2025/3/12,3385.69,3371.92,3392.41,3370.22,502195100,6.48502E+11,-0.002343097,0.6565418970776653,9.771738731397548,11.767413964749972,0.4985555970335521,0.035592844,3024,0.5221560846560847,0,0,0
2025/3/13,3371.09,3358.73,3377.12,3341.12,519013479,6.36212E+11,-0.003919389,1.067640987923794,4.923099353367556,11.755128954654806,0.066289191,-0.146198811,4700,0.425531915,0,0,0
2025/3/14,3361.69,3419.56,3421.23,3360.61,582663388,7.50042E+11,0.017948961,1.804848856561852,14.302798542304076,13.260271755227066,1.7681666903263462,0.068084883,4680,0.5373931623931624,0.8567256927490234,1,1
2025/3/17,3430.81,3426.13,3436.35,3422.46,515685138,6.3935E+11,0.001919456,0.4061926095754972,13.76513564491915,13.250180796481809,1.8571426023185396,0.032146187,2140,0.5205607476635514,0,0,0
